title,creators,abstractNote,publicationTitle,date,language,url,libraryCatalog,tags
Deep residual network based fault detection and diagnosis of photovoltaic arrays using current-voltage curves and ambient conditions基于深度残差网络的故障检测，以及使用电流-电压曲线和环境条件对光伏阵列进行诊断,ChenZhicong,Automatic fault detection and diagnosis techniques for photovoltaic arrays are crucial to promote the efficiency， reliability and safety of photovoltaic systems. In recent decades， many conventional artificial intelligence approaches have been successfully applied to automatically establish fault detection and diagnosis model using fault data samples， but most of them rely on manual feature extraction or expert knowledge to build diagnosis models， which is inefficient and may ignore some potential useful features. In addition， they usually use shallow neural networks with limited performance. Addressing the issues， this paper proposes a novel intelligent fault detection and diagnosis method for photovoltaic arrays based on a newly designed deep residual network model trained by the adaptive moment estimation deep learning algorithm， which can automatically extract features from raw current-voltage curves and ambient irradiance and temperature， and effectively improve the performance with a deeper network. In order to validate the proposed fault diagnosis model， a Simulink based simulation model is designed for a real laboratory photovoltaic array， and both fault simulation and real experiments are carried out to obtain simulation and experimental fault datasets. Furthermore， two other popular deep learning based models are used for comparison， including convolution neural network and convolutional auto-encoder. Both of simulation and real experimental comparison results demonstrate that the proposed deep residual network based method achieves high and best overall performance in terms of accuracy， generalization performance， reliability and training efficiency.,Energy Conversion and Management,2019-10-15,,https://www.sciencedirect.com/science/article/pii/S0196890419307757,ScienceDirect,"['Current-voltage characteristic curves', 'Deep learning', 'Deep residual networks', 'Fault detection and diagnosis', 'Photovoltaic arrays']"
Reliable fault detection and diagnosis of photovoltaic systems based on statistical monitoring approaches,HarrouFouzi,,Renewable Energy,02/2018,en,https://linkinghub.elsevier.com/retrieve/pii/S0960148117309114,DOI.org (Crossref),[]
FBRT-YOLO: Faster and Better for Real-Time Aerial Image Detection,XiaoYao,"Embedded flight devices with visual capabilities have become essential for a wide range of applications. 
In aerial image detection， while many existing methods have partially addressed the issue of small target detection， challenges remain in optimizing small target detection and balancing detection accuracy with efficiency.
These issues are key obstacles to the advancement of real-time aerial image detection.
In this paper， we propose a new family of real-time detectors for aerial image detection， named FBRT-YOLO， to address the imbalance between detection accuracy and efficiency. Our method comprises two lightweight modules: Feature Complementary Mapping Module (FCM) and Multi-Kernel Perception Unit (MKP)， designed to enhance object perception for small targets in aerial images.
FCM focuses on alleviating the problem of information imbalance caused by the loss of small target information in deep networks. It aims to integrate spatial positional information of targets more deeply into the network， better aligning with semantic information in the deeper layers to improve the localization of small targets.
We introduce MKP， which leverages convolutions with kernels of different sizes to enhance the relationships between targets of various scales and improve the perception of targets at different scales.
Extensive experimental results on three major aerial image datasets， including Visdrone， UAVDT， and AI-TOD， demonstrate that FBRT-YOLO outperforms various real-time detectors in terms of performance and speed.",Proceedings of the AAAI Conference on Artificial Intelligence,2025-04-11,en,https://ojs.aaai.org/index.php/AAAI/article/view/32937,ojs.aaai.org,[]
Fast fault detection method for photovoltaic arrays with adaptive deep multiscale feature enhancement,GongBin,Photovoltaic (PV) arrays have output characteristics such as randomness and intermittency， and faults can seriously affect the safe operation of the power system. In order to improve the comprehensive performance of the PV array fault diagnosis model， a new intelligent online fault monitoring method for PV arrays is proposed in this paper. (1) a three-dimensional channel feature map based on I， V， and P features is constructed because the I-V and P curves of the PV array have significantly different effects under different fault conditions. (2) The PV array fault diagnosis model based on a multi-source information fusion network (MIFNet) is proposed， and Channel Mixing Convolution (CMC) module， three-dimensional feature attention enhancement (TDFAE) module， and Channel normalized scaling (CNS) module are designed to improve the comprehensive performance of the model. (3) An adaptive nonlinear mutual sparrow search algorithm (ANMSSA) is proposed to optimize the hyperparameter configuration of the MIFNet network. The experimental results show that the average recognition accuracy， prediction accuracy， and sensitivity of the ANMSSA-MIFNet network proposed in this paper are 99.64%， 99.64%， and 99.71% respectively. When facing single-component faults and multi-component faults， the model has stronger diagnostic accuracy， robustness， anti-noise ability， and stability， and can efficiently diagnose different faults of PV arrays， providing the scientific basis and theoretical support for the operation of PV systems.,Applied Energy,2024-01-01,,https://www.sciencedirect.com/science/article/pii/S0306261923014356,ScienceDirect,"['Fault diagnosis', 'Improved sparrow optimization algorithm', 'Multi-scale feature fusion', 'Photovoltaic arrays', 'Three-dimensional feature attention enhancement module']"
An unsupervised hourly weather status pattern recognition and blending fitting model for PV system fault detection,QuJiaqi,Detecting PV system faults in a timely fashion is important to ensure the safe operation of equipment and reduce their impact on the economy of the PV systems. It is necessary to further improve the time-sensitive performance evaluation of the system. However， the hourly weather scenario segmentations are seldom considered during the hour-level online monitoring process. Therefore， a hybrid method based on unsupervised hourly weather status pattern recognition and blending fitting model is proposed for hourly fault detection to improve the performance evaluation of PV systems. The proposed solution includes three parts， firstly， in the data preprocessing stage， the measured power with the errors and noise under normal operation situation caused by the environment changes is corrected by monthly linear fitting. Secondly， an unsupervised hourly weather status pattern recognition method is constructed using the measured radiation data， including unsupervised clustering and the Multiclass-GBDT-LR classification process. Finally， after eliminating the anomalies and errors， the blending fitting model of the hourly sub-weather status is established. Through the analysis of power plants in Australia and China， the proposed solutions are validated and evaluated to be superior to existing data-driven solutions in terms of fitting accuracy， detection validity， and response time. Numerical results of case studies indicate that the developed methodology under sub-weather has improved the detection accuracy up to 97.71% and 99.29% compared to benchmark models.,Applied Energy,2022-08-01,,https://www.sciencedirect.com/science/article/pii/S0306261922006286,ScienceDirect,"['Blending fitting model', 'Hourly fault detection', 'Photovoltaic systems performance', 'Unsupervised hourly weather status pattern recognition']"
Photovoltaic Bypass Diode Fault Detection Using Artificial Neural Networks,DhimishMahmoud,Due to the importance of determining faulty bypass diodes in photovoltaic (PV) systems， faulty bypass diodes have been of widespread interest in recent years due to their importance in improving PV system durability， operation， and overall safety. This article presents new work in developing an artificial intelligence (AI) based model using the principles of artificial neural networks (ANNs) to detect short and open PV bypass diode fault conditions. With only three inputs from the PV system， namely， the output power， short-circuit current， and open-circuit voltage， the developed ANN model can determine whether the PV bypass diodes are defective. In the experimentally validated case of short and open bypass diodes， 93.6% and 93.3% of faulty bypass diodes can be detected. Furthermore， the developed ANN model has an average precision and sensitivity of 96.4% and 92.6%， respectively.,IEEE Transactions on Instrumentation and Measurement,2023,,https://ieeexplore.ieee.org/abstract/document/10042455,IEEE Xplore,"['Artificial intelligence (AI)', 'Artificial neural networks', 'Circuit faults', 'Fault diagnosis', 'Neurons', 'Photovoltaic cells', 'Photovoltaic systems', 'Temperature measurement', 'bypass diodes', 'fault detection algorithm', 'photovoltaics (PVs)']"
Faults detection and diagnosis of PV systems based on machine learning approach using random forest classifier,AmiriAhmed Faris,Accurate and reliable fault detection procedures are crucial for optimizing photovoltaic (PV) system performance. Establishing a trustworthy PV array model is the primary step and a vital tool for monitoring and diagnosing PV systems. This paper outlines a two-step approach for creating a reliable PV array model and implementing a fault detection procedure using Random Forest Classifiers (RFCs). Firstly， we extracted the five unknown parameters of the one-diode model (ODM) by combining the current–voltage translation method to predict the reference curve and employing the modified grey wolf optimization (MGWO) algorithm. In the second step， we simulated the PV array to obtain maximum power point (MPP) coordinates and construct operational databases through co-simulations in PSIM/MATLAB. We developed two RFCs: one for fault detection (a binary classifier) and another for fault diagnosis (a multiclass classifier). Our results confirmed the accuracy of the PV array modeling approach. We achieved a root mean square error (RMSE) value of 0.0122 for the ODM parameter extraction and RMSEs lower than 0.3 in dynamic PV array output current simulations under cloudy conditions. Regarding the fault detection procedure， our results demonstrate exceptional classification accuracy rates of 99.4% for both fault detection and diagnosis， surpassing other tested models like Support Vector Machines (SVM)， K-Nearest Neighbors (KNN)， Neural Networks (MLP Classifier)， Decision Trees (DT)， and Stochastic Gradient Descent (SGDC).,Energy Conversion and Management,2024-02-01,,https://www.sciencedirect.com/science/article/pii/S0196890424000177,ScienceDirect,"['Co-simulation', 'Dynamic MPP model', 'Fault detection', 'MGWO algorithm', 'Parameter extraction', 'Random forest classifier']"
Failures of Photovoltaic modules and their Detection: A Review,Waqar AkramM.,Photovoltaic (PV) has emerged as a promising and phenomenal renewable energy technology in the recent past and the PV market has developed at an exponential rate during the time. However， a large number of early failure and degradation cases are also observed in the field. Besides these， there are fire risks associated with PV modules installed in the field， roof-mounted and building integrated PV systems， as modules contain combustible materials. The fire is caused by different failures and faults such as electrical arcs， short circuits， and hotspots. The timely， fast and accurate detection and measurement of failures is important to produce efficient and durable modules. Conventional visual monitoring and assessment process is commonly used in the field， which is mainly dependent upon human abilities and often involve human error. Moreover， it is only practicable on small-scale and requires long time. With the rising use of PV solar energy and ongoing installation of large-scale PV power plants worldwide， the automation of PV monitoring and assessment methods becomes important. Here， the present paper focuses on module failures， fire risks associated with PV modules， failure detection/measurements， and computer/machine vision or artificial intelligence (AI) based failure detection in PV modules; and can serve as a one-stop source for PV system inspectors. All types of failures occurred in PV modules including recent reported field failures are discussed in the paper. The fire risks associated with PV modules and reduction of fire risks and hotspots is also discussed. Different failure detection methods and recent advancements in these methods are presented. The strengths and limitations of each method is summarized. Moreover， the studies conducted on combined application and comparison of different methods are extensively reviewed. The boundary conditions of applications of different failure detection methods are provided which helps in selection of appropriate method. Subsequent to this， automatic techniques are introduced and their implementation and applications are discussed. The strengths and limitations of different automatic techniques and their applicability with respect to different conditions is discussed. This study may act as a one-stop guide for: acquiring information about module structure and failures， mitigation of fire risks and hotspots， selection of appropriate characterization method， application of different methods， automation of detection tasks， and remote PV plant inspection. The PV sector is at the start of AI journey and has a long path to go. The present paper is a significant step in the AI journey. The existing knowledge is organized systematically in a handy manner， thereby can facilitates new developments in AI-related research， fire risks mitigation， and failure detection.,Applied Energy,2022-05-01,,https://www.sciencedirect.com/science/article/pii/S0306261922002677,ScienceDirect,"['Artificial intelligence and deep learning', 'Defect detection', 'Electroluminescence and Infrared imaging', 'Module failures and fire risks', 'Photovoltaic cells']"
An innovative transformer neural network for fault detection and classification for photovoltaic modules,RamadanE. A.,Solar energy from photovoltaic systems (PV) ranks as the third greatest renewable electricity generation resource， expanding quickly through the years as it is free from environmental pollution and has cheap installation costs. Effective performance at high working rates is contingent on the early failure detection of PV modules. This study introduces an innovative deep learning model utilizing a Vision Transformer (ViT) artificial neural network (ANN) for the automatic detection of faults in infrared thermography (IR) images of PV modules. Our approach aims to enhance the accuracy of PV fault detection and classification compared to existing deep learning methods. The proposed framework encompasses three primary stages: (1) image preprocessing， which includes the application of the unsharp mask to sharpen the image’s edges or high-frequency components; (2) data augmentation techniques designed to overcome the problem of unbalanced classes that affect the training process， resulting in learning specific majority classes better than others; and (3) implementing a Vision Transformer deep learning model for its precision in digital image analysis. We evaluated the framework using the public Infrared Solar Modules dataset. The performance was quantitatively assessed using several metrics: accuracy， recall， precision， and F1 score. The dataset is classified into eleven different PV anomalies and another class of no-anomaly PV modules. The results show that our proposed approach has 98.23% accuracy for classifying the dataset into two classes， one for the PV anomaly and the other for the no-anomaly. It also has 96.19% accuracy for classifying eleven PV failures and 95.55% for twelve classes， including the no-anomaly class with the eleven types of anomalies. The experimental results underscore the potential of our model for earlier and more precise detection of PV faults. Furthermore， comparative analysis revealed the superior performance of the proposed approach over other deep learning methods.,Energy Conversion and Management,2024-08-15,,https://www.sciencedirect.com/science/article/pii/S0196890424006599,ScienceDirect,"['Artificial Intelligence', 'Fault Detection System', 'Photovoltaic (PV) systems', 'Thermography', 'Vision Transformer']"
Fault detection and monitoring systems for photovoltaic installations: A review,Triki-LahianiAsma,As any energy production system， photovoltaic (PV) installations have to be monitored to enhance system performances and to early detect failures for more reliability. There are several photovoltaic monitoring strategies based on the output of the plant and its nature. Monitoring can be performed locally on site or remotely. It measures production， focuses also on verification and follow-up of converter and communication devices' effective operation. Up to now， some faults diagnosis methods for PV components and systems have been developed. However， given the evolution of PV installations， more advanced monitoring techniques are continuously under investigation. In this paper， major photovoltaic system failures are addressed. Then techniques for photovoltaic monitoring proposed in recent literature are overviewed and analyzed to point out their differences， advantages and limits.,Renewable and Sustainable Energy Reviews,2018-02-01,,https://www.sciencedirect.com/science/article/pii/S1364032117313618,ScienceDirect,"['Diagnosis', 'Fault detection', 'PV monitoring', 'PV systems']"
Application of Artificial Neural Networks to photovoltaic fault detection and diagnosis: A review,LiB.,The rapid development of photovoltaic (PV) technology and the growing number and size of PV power plants require increasingly efficient and intelligent health monitoring strategies to ensure reliable operation and high energy availability. Among the various techniques， Artificial Neural Network (ANN) has exhibited the functional capacity to perform the identification and classification of PV faults. In the present review， a systematic study on the application of ANN and hybridized ANN models for PV fault detection and diagnosis (FDD) is conducted. For each application， the targeted PV faults， the detectable faults， the type and amount of data used， the model configuration and the FDD performance are extracted， and analyzed. The main trends， challenges and prospects for the application of ANN for PV FDD are extracted and presented.,Renewable and Sustainable Energy Reviews,2021-03-01,,https://www.sciencedirect.com/science/article/pii/S136403212030798X,ScienceDirect,"['Artificial neural network', 'Deep learning', 'Fault classification', 'Fault detection', 'Machine learning', 'Photovoltaic']"
MambaSOD: Dual Mamba-driven cross-modal fusion network for RGB-D Salient Object Detection,ZhanYue,The purpose of RGB-D Salient Object Detection (SOD) is to pinpoint the most visually conspicuous areas within images accurately. Numerous conventional models heavily rely on CNN and overlook the long-range contextual dependencies， subsequent transformer-based models have addressed the issue to some extent but introduce quadratic computational complexity. Moreover， incorporating spatial information from depth maps has been proven effective for this task and the primary challenge is how to effectively fuse the complementary information from RGB and depth. Recent advancements in Mamba， particularly its superior ability to perform long-range modeling within linear efficiency， have motivated our exploration of its potential in the RGB-D SOD task. In this paper， we propose a dual Mamba-driven cross-modal fusion network for RGB-D SOD， named MambaSOD， which effectively leverages Mamba’s long-range dependency modeling capability. Specifically， we employ a dual Mamba-driven feature extractor to process RGB and depth inputs to obtain features with global contextual information. Then， we design a cross-modal fusion Mamba to perform modality-specific feature enhancement and model the inter-modal correlation between the RGB and depth features. To the best of our knowledge， this work is an innovative attempt to explore the potential of the pure Mamba in the RGB-D SOD task， offering a novel perspective. Numerous experiments conducted on seven prevailing datasets demonstrate our method’s superiority over eighteen state-of-the-art RGB-D SOD models. The source code will be released at https://github.com/YueZhan721/MambaSOD.,Neurocomputing,2025-05-28,,https://www.sciencedirect.com/science/article/pii/S092523122500390X,ScienceDirect,"['Cross-modal Fusion Mamba', 'Mamba-based backbone', 'RGB-D salient object detection', 'State Space Model']"
FM-RTDETR: Small Object Detection Algorithm Based on Enhanced Feature Fusion with Mamba,YangYuchuan,Traditional real-time object detection networks deployed in unmanned aerial vehicles (UAVs) struggle to extract features from small objects in complex backgrounds with occlusions and overlapping objects. To address this challenge， we propose FM-RTDETR， a real-time object detection algorithm optimized for small object detection. We redesign the encoder of RT-DETRv2 by integrating the Feature Aggregation and Diffusion Network (FADN)， improving the algorithm's ability to capture contextual information. Subsequently， we introduce the Parallel Atrous Mamba Feature Fusion Module (PAMFFM)， which combines shallow and deep semantic information to better capture small object features. Furthermore， we propose the Cross-stage Enhanced Feature Fusion Module (CEFFM)， merging features for small objects to provide richer and more detailed information. Finally， we propose STIoU Loss， which incorporates a penalty term to adjust the scaling of the loss function， thereby improving detection granularity for small objects. FM-RTDETR achieves AP<sub>50</sub> scores of 54.0% and 56.3% on the VisDrone2019-DET and AI-TOD datasets. Compared with other state-of-the-art methods， our method shows great potential in small object detection from drones. The code is available at https://github.com/Yyc1999super/FM-RTDETR.,IEEE Signal Processing Letters,2025,,https://ieeexplore.ieee.org/document/10935299/,IEEE Xplore,"['Accuracy', 'Artificial intelligence', 'Convolution', 'Decoding', 'Feature extraction', 'Feature fusion', 'Object detection', 'RT-DETRv2', 'Real-time systems', 'Signal processing algorithms', 'Small object detection', 'Training', 'Transformers', 'VisDrone']"
