title,creators,abstractNote,conferenceName,date,language,url,libraryCatalog,tags
Efficient Multi-Scale Attention Module with Cross-Spatial Learning,OuyangDaliang,Remarkable effectiveness of the channel or spatial attention mechanisms for producing more discernible feature representation are illustrated in various computer vision tasks. However， modeling the cross-channel relationships with channel dimensionality reduction may bring side effect in extracting deep visual representations. In this paper， a novel efficient multi-scale attention (EMA) module is proposed. Focusing on retaining the information on per channel and decreasing the computational overhead， we reshape the partly channels into the batch dimensions and group the channel dimensions into multiple sub-features which make the spatial semantic features well-distributed inside each feature group. Specifically， apart from encoding the global information to re-calibrate the channel-wise weight in each parallel branch， the output features of the two parallel branches are further aggregated by a cross-dimension interaction for capturing pixel-level pairwise relationship. We conduct extensive ablation studies and experiments on image classification and object detection tasks with popular benchmarks (e.g.， CIFAR-100， ImageNet-1k， MS COCO and VisDrone2019) for evaluating its performance.,,2023-6-4,,http://arxiv.org/abs/2305.13563,arXiv.org,"['Computer Science - Artificial Intelligence', 'Computer Science - Computer Vision and Pattern Recognition']"
EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,TanMingxing,Convolutional Neural Networks (ConvNets) are commonly developed at a fixed resource budget， and then scaled up for better accuracy if more resources are given. In this paper， we systematically study model scaling and identify that carefully balancing network depth， width， and resolution can lead to better performance. Based on this observation， we propose a new scaling method that uniformly scales all dimensions of depth/width/resolution using a simple yet highly effective compound coefficient. We demonstrate the effectiveness of this method on MobileNets and ResNet. To go even further， we use neural architecture search to design a new baseline network and scale it up to obtain a family of models， called EfficientNets， which achieve much better accuracy and efficiency than previous ConvNets. In particular， our EfficientNet-B7 achieves stateof-the-art 84.4% top-1 / 97.1% top-5 accuracy on ImageNet， while being 8.4x smaller and 6.1x faster on inference than the best existing ConvNet (Huang et al.， 2018). Our EfficientNets also transfer well and achieve state-of-the-art accuracy on CIFAR-100 (91.7%)， Flower (98.8%)， and 3 other transfer learning datasets， with an order of magnitude fewer parameters.,International Conference on Machine Learning,2019-05-24,en,https://proceedings.mlr.press/v97/tan19a.html,proceedings.mlr.press,[]
DETRs Beat YOLOs on Real-time Object Detection,ZhaoYian,The YOLO series has become the most popular framework for real-time object detection due to its reasonable trade-off between speed and accuracy. However， we observe that the speed and accuracy of YOLOs are negatively affected by the NMS. Recently， end-to-end Transformer-based detectors (DETRs) have provided an alternative to eliminating NMS. Nevertheless， the high computational cost limits their practicality and hinders them from fully exploiting the advantage of excluding NMS. In this paper， we propose the Real-Time DEtection TRansformer (RT-DETR)， the first real-time end-to-end object detector to our best knowledge that addresses the above dilemma. We build RT-DETR in two steps， drawing on the advanced DETR: first we focus on maintaining accuracy while improving speed， followed by maintaining speed while improving accuracy. Specifically， we design an efficient hybrid encoder to expeditiously process multi-scale features by decoupling intra-scale interaction and cross-scale fusion to improve speed. Then， we propose the uncertainty-minimal query selection to provide high-quality initial queries to the decoder， thereby improving accuracy. In addition， RT-DETR supports flexible speed tuning by adjusting the number of decoder layers to adapt to various scenarios without retraining. Our RT-DETR-R50 / R101 achieves 53.1% / 54.3% AP on COCO and 108 / 74 FPS on T4 GPU， outperforming previously advanced YOLOs in both speed and accuracy. Furthermore， RT-DETR-R50 outperforms DINO-R50 by 2.2% AP in accuracy and about 21 times in FPS. After pre-training with Objects365， RTDETR-R50 / R101 achieves 55.3% / 56.2% AP. The project page: https://zhao-yian.github.io/RTDETR.,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2024-6-16,en,https://ieeexplore.ieee.org/document/10657220/,DOI.org (Crossref),[]
DETRs Beat YOLOs on Real-time Object Detection,ZhaoYian,The YOLO series has become the most popular framework for real-time object detection due to its reasonable trade-off between speed and accuracy. However， we observe that the speed and accuracy of YOLOs are negatively affected by the NMS. Recently， end-to-end Transformer-based detectors (DETRs) have provided an alternative to eliminating NMS. Nevertheless， the high computational cost limits their practicality and hinders them from fully exploiting the advantage of excluding NMS. In this paper， we propose the Real-Time DEtection TRansformer (RT-DETR)， the first real-time end-to-end object detector to our best knowledge that addresses the above dilemma. We build RT-DETR in two steps， drawing on the advanced DETR: first we focus on maintaining accuracy while improving speed， followed by maintaining speed while improving accuracy. Specifically， we design an efficient hybrid encoder to expeditiously process multi-scale features by decoupling intra-scale interaction and cross-scale fusion to improve speed. Then， we propose the uncertainty-minimal query selection to provide high-quality initial queries to the decoder， thereby improving accuracy. In addition， RT-DETR supports flexible speed tuning by adjusting the number of decoder layers to adapt to various scenarios without retraining. Our RT-DETR-R50 / R101 achieves 53.1% / 54.3% AP on COCO and 108 / 74 FPS on T4 GPU， outperforming previously advanced YOLOs in both speed and accuracy. Furthermore， RT-DETR-R50 outperforms DINO-R50 by 2.2% AP in accuracy and about 21 times in FPS. After pre-training with Objects365， RTDETR-R50 / R101 achieves 55.3% / 56.2% AP. The project page: https://zhao-yian.github.io/RTDETR.,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2024-6-16,en,https://ieeexplore.ieee.org/document/10657220/,DOI.org (Crossref),[]
Strip Pooling: Rethinking Spatial Pooling for Scene Parsing,HouQibin,Spatial pooling has been proven highly effective in capturing long-range contextual information for pixel-wise prediction tasks， such as scene parsing. In this paper， beyond conventional spatial pooling that usually has a regular shape of N × N ， we rethink the formulation of spatial pooling by introducing a new pooling strategy， called strip pooling， which considers a long but narrow kernel， i.e.， 1 × N or N × 1. Based on strip pooling， we further investigate spatial pooling architecture design by 1) introducing a new strip pooling module that enables backbone networks to efﬁciently model long-range dependencies， 2) presenting a novel building block with diverse spatial pooling as a core， and 3) systematically comparing the performance of the proposed strip pooling and conventional spatial pooling techniques. Both novel pooling-based designs are lightweight and can serve as an efﬁcient plugand-play module in existing scene parsing networks. Extensive experiments on popular benchmarks (e.g.， ADE20K and Cityscapes) demonstrate that our simple approach establishes new state-of-the-art results. Code is available at https://github.com/Andrew-Qibin/SPNet.,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),6/2020,en,https://ieeexplore.ieee.org/document/9157204/,DOI.org (Crossref),[]
Oriented R-CNN for Object Detection,XieXingxing,,Proceedings of the IEEE/CVF International Conference on Computer Vision,2021,en,https://openaccess.thecvf.com/content/ICCV2021/html/Xie_Oriented_R-CNN_for_Object_Detection_ICCV_2021_paper.html,openaccess.thecvf.com,[]
ImageNet Classification with Deep Convolutional Neural Networks,KrizhevskyAlex,We trained a large， deep convolutional neural network to classify the 1.3 million high-resolution images in the LSVRC-2010 ImageNet training set into the 1000 different classes. On the test data， we achieved top-1 and top-5 error rates of 39.7\% and 18.9\% which is considerably better than the previous state-of-the-art results. The neural network， which has 60 million parameters and 500，000 neurons， consists of five convolutional layers， some of which are followed by max-pooling layers， and two globally connected layers with a final 1000-way softmax. To make training faster， we used non-saturating neurons and a very efficient GPU implementation of convolutional nets. To reduce overfitting in the globally connected layers we employed a new regularization method that proved to be very effective.,,2012,,https://proceedings.neurips.cc/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html,Neural Information Processing Systems,[]
Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,LiuZe,This paper presents a new vision Transformer， called Swin Transformer， that capably serves as a general-purpose backbone for computer vision. Challenges in adapting Transformer from language to vision arise from differences between the two domains， such as large variations in the scale of visual entities and the high resolution of pixels in images compared to words in text. To address these differences， we propose a hierarchical Transformer whose representation is computed with Shifted windows. The shifted windowing scheme brings greater efﬁciency by limiting self-attention computation to non-overlapping local windows while also allowing for cross-window connection. This hierarchical architecture has the ﬂexibility to model at various scales and has linear computational complexity with respect to image size. These qualities of Swin Transformer make it compatible with a broad range of vision tasks， including image classiﬁcation (87.3 top-1 accuracy on ImageNet-1K) and dense prediction tasks such as object detection (58.7 box AP and 51.1 mask AP on COCO testdev) and semantic segmentation (53.5 mIoU on ADE20K val). Its performance surpasses the previous state-of-theart by a large margin of +2.7 box AP and +2.6 mask AP on COCO， and +3.2 mIoU on ADE20K， demonstrating the potential of Transformer-based models as vision backbones. The hierarchical design and the shifted window approach also prove beneﬁcial for all-MLP architectures. The code and models are publicly available at https://github. com/microsoft/Swin-Transformer.,2021 IEEE/CVF International Conference on Computer Vision (ICCV),10/2021,en,https://ieeexplore.ieee.org/document/9710580/,DOI.org (Crossref),[]
Deep Residual Learning for Image Recognition,HeKaiming,Deeper neural networks are more difﬁcult to train. We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously. We explicitly reformulate the layers as learning residual functions with reference to the layer inputs， instead of learning unreferenced functions. We provide comprehensive empirical evidence showing that these residual networks are easier to optimize， and can gain accuracy from considerably increased depth. On the ImageNet dataset we evaluate residual nets with a depth of up to 152 layers—8× deeper than VGG nets [40] but still having lower complexity. An ensemble of these residual nets achieves 3.57% error on the ImageNet test set. This result won the 1st place on the ILSVRC 2015 classiﬁcation task. We also present analysis on CIFAR-10 with 100 and 1000 layers.,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),6/2016,en,http://ieeexplore.ieee.org/document/7780459/,DOI.org (Crossref),[]
SCConv: Spatial and Channel Reconstruction Convolution for Feature Redundancy,LiJiafeng,Convolutional Neural Networks (CNNs) have achieved remarkable performance in various computer vision tasks but this comes at the cost of tremendous computational resources， partly due to convolutional layers extracting redundant features. Recent works either compress well-trained large-scale models or explore well-designed lightweight models. In this paper， we make an attempt to exploit spatial and channel redundancy among features for CNN compression and propose an efficient convolution module， called SCConv (Spatial and Channel reconstruction Convolution)， to decrease redundant computing and facilitate representative feature learning. The proposed SCConv consists of two units: spatial reconstruction unit (SRU) and channel reconstruction unit (CRU). SRU utilizes a separate-and-reconstruct method to suppress the spatial redundancy while CRU uses a split-transform-andfuse strategy to diminish the channel redundancy. In addition， SCConv is a plug-and-play architectural unit that can be used to replace standard convolution in various convolutional neural networks directly. Experimental results show that SCConv-embedded models are able to achieve better performance by reducing redundant features with significantly lower complexity and computational costs.,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),6/2023,en,https://ieeexplore.ieee.org/document/10204928/,DOI.org (Crossref),['important-model']
Traffic signal coordination for emergency vehicles,KangWenwen,Reducing travel time of emergency vehicles (EVs) has a potential in significant savings of life and property. Integrating modern intelligent transportation system (ITS) with EV signal preemption seems to be a solution. But existing EV signal preemption systems often break the current signal coordination and impact a lot on the normal traffic streams. In this paper we propose an emergency vehicle signal coordination (EVSC) approach， which is intended to provide “green wave” for EVs. Traffic simulations are conducted along an emergency corridor with 8 intersections in Qingdao， China. Multiple traffic measurements are compared between simulation outputs with and without EVSC operation. The result indicates that the proposed approach can reduce EV travel time by 26.9% without too much negative impact on the normal traffic streams.,17th International IEEE Conference on Intelligent Transportation Systems (ITSC),2014-10,,https://ieeexplore.ieee.org/abstract/document/6957683,IEEE Xplore,"['Cities and towns', 'Delays', 'Mathematical model', 'Roads', 'Traffic control', 'Vehicles']"
Optimal Motion Control for Connected and Automated Electric Vehicles at Signal-Free Intersections,PanXiao,Traffic congestion is one of the major issues for urban traffic networks. The connected and autonomous vehicles (CAV) is an emerging technology that has the potential to address this issue by improving safety， efficiency， and capacity of the transportation system. In this paper， the problem of optimal trajectory planning of battery-electric CAVs in the context of cooperative crossing of an unsignalized intersection is addressed. An optimization-based centralized intersection controller is proposed to find the optimal velocity trajectory of each vehicle so as to minimize electric energy consumption and traffic throughput. Solving the underlying optimization problem for a group of CAVs is not straightforward because of the nonlinear and nonconvex dynamics， especially when the powertrain model is explicitly modelled. In order to ensure a rapid solution search and a unique global optimum， the optimal control problem (OCP) is reformulated via convex modeling techniques. Several simulation case studies show the effectiveness of the proposed approach and the trade-off between energy consumption and traffic throughput is illustrated.,2020 59th IEEE Conference on Decision and Control (CDC),2020-12,,https://ieeexplore.ieee.org/abstract/document/9304392,IEEE Xplore,"['Batteries', 'Energy consumption', 'Mechanical power transmission', 'Safety', 'Torque', 'Trajectory', 'Vehicle dynamics']"
Latency-Robust Control of High-Speed Signal-Free Intersections,LiuYang,High-speed signal-free intersections are a novel urban traffic operation enabled by connected and autonomous vehicles. However， the impact of communication latency on intersection performance has not been well understood. In this paper， we consider vehicle coordination at signal-free intersections with latency. We focus on two questions: (i) how to ensure latency-resiliency of the coordination algorithm， and (ii) how latency affects the intersection's capacity. We consider a trajectory-based model with bounded speed uncertainties. Latency leads to uncertain state observation. We propose a piecewise-linear control law that ensures safety (avoidance of interference) as long as the initial condition is safe. We also analytically quantify the throughput that the proposed control can attain in the face of latency.,2021 American Control Conference (ACC),2021-05,,https://ieeexplore.ieee.org/abstract/document/9482689,IEEE Xplore,"['Autonomous vehicles', 'Faces', 'Interference', 'Safety', 'Signal-free intersections', 'Throughput', 'Uncertainty', 'connected and autonomous vehicles', 'robust control']"
Development of Autonomous Drones for Adaptive Obstacle Avoidance in Real World Environments,DevosArne,Recently， drones have been involved in several critical tasks such as infrastructure inspection， crisis response， and search and rescue operations. Such drones mostly use sophisticated computer vision techniques to effectively avoid obstacles and， thereby， require high computational power. Therefore， this work tuned and tested a computationally inexpensive algorithm， previously developed by the authors， for adaptive obstacle avoidance control of a drone. The algorithm aims at protecting the drone from entering in complex situations such as deadlocks and corners. The algorithm has been validated through simulation and implemented on a newly developed drone platform for infrastructure inspection. The design of the drone platform and the experimental results are presented in this study.,2018 21st Euromicro Conference on Digital System Design (DSD),2018-08,,https://ieeexplore.ieee.org/document/8491889,IEEE Xplore,"['Adaptive obstacle avoidance', 'Autonomous drone system', 'Collision avoidance', 'Drones', 'Implementation', 'Laser radar', 'Navigation', 'Propellers', 'Signal processing algorithms', 'Simulation', 'System recovery']"
Deep Reinforcement Learning for Persistent Cruise Control in UAV-aided Data Collection,KurunathanHarrison,Autonomous UAV cruising is gaining attention due to its flexible deployment in remote sensing， surveillance， and reconnaissance. A critical challenge in data collection with the autonomous UAV is the buffer overflows at the ground sensors and packet loss due to lossy airborne channels. Trajectory planning of the UAV is vital to alleviate buffer overflows as well as channel fading. In this work， we propose a Deep Deterministic Policy Gradient based Cruise Control (DDPG-CC) to reduce the overall packet loss through online training of headings and cruise velocity of the UAV， as well as the selection of the ground sensors for data collection. Preliminary performance evaluation demonstrates that DDPG-CC reduces the packet loss rate by under 5% when sufficient training is provided to the UAV.,2021 IEEE 46th Conference on Local Computer Networks (LCN),2021-10,,https://ieeexplore.ieee.org/document/9525022,IEEE Xplore,"['Autonomous UAV', 'Buffer overflows', 'Cruise control', 'Data collection', 'Deep reinforcement learning', 'Packet loss', 'Reinforcement learning', 'Training', 'Trajectory planning', 'UAV-aided WSN', 'Wireless sensor networks']"
